"TBLID","ORDER","Column heading for transposed file","LINE_TYPE","indent","Description","Census variable codes",,
"S10701",31,"T1est.31","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",32,"T1est.32","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",33,"T1est.33","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",34,"T1est.34","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",35,"T1est.35","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",36,"T1est.36","S",3,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 95% of HAMFI","HUD95=0",,
"S10701",37,"T1est.37","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",38,"T1est.38","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",39,"T1est.39","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",40,"T1est.40","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",41,"T1est.41","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",42,"T1est.42","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",43,"T1est.43","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",44,"T1est.44","S",2,"Owner occupied; AND has none of the 4 housing unit problems","KIT=1 AND PLM=1 AND PPR<=1 AND 0<OCPI<=30",,
"S10701",45,"T1est.45","S",3,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI","HUD30=1",,
"S10701",46,"T1est.46","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",47,"T1est.47","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",48,"T1est.48","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",49,"T1est.49","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",50,"T1est.50","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",51,"T1est.51","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",52,"T1est.52","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",53,"T1est.53","S",3,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI","HUD30=0 AND HUD50=1",,
"S10701",54,"T1est.54","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",55,"T1est.55","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",56,"T1est.56","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",57,"T1est.57","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",58,"T1est.58","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",59,"T1est.59","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",60,"T1est.60","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",61,"T1est.61","S",3,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI","HUD50=0 AND HUD80=1",,
"S10701",62,"T1est.62","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",63,"T1est.63","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",64,"T1est.64","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",65,"T1est.65","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",66,"T1est.66","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",67,"T1est.67","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",68,"T1est.68","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",69,"T1est.69","S",3,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI","HUD80=0 AND HUD95=1",,
"S10701",70,"T1est.70","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",71,"T1est.71","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",72,"T1est.72","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",73,"T1est.73","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",74,"T1est.74","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",75,"T1est.75","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",76,"T1est.76","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",77,"T1est.77","S",3,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 95% of HAMFI","HUD95=0",,
"S10701",78,"T1est.78","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",79,"T1est.79","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",80,"T1est.80","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",81,"T1est.81","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",82,"T1est.82","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",83,"T1est.83","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",84,"T1est.84","D",4,"Owner occupied; AND has none of the 4 housing unit problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",85,"T1est.85","S",2,"Owner occupied; AND cost burden not computed, household has none of the other housing problems","KIT=1 AND PLM=1 AND PPR<=1 AND OCPI=.",,
"S10701",86,"T1est.86","S",3,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is less than or equal to 30% of HAMFI","HUD30=1",,
"S10701",87,"T1est.87","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",88,"T1est.88","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",89,"T1est.89","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",90,"T1est.90","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",91,"T1est.91","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",92,"T1est.92","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",93,"T1est.93","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",94,"T1est.94","S",3,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI","HUD30=0 AND HUD50=1",,
"S10701",95,"T1est.95","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",96,"T1est.96","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",97,"T1est.97","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",98,"T1est.98","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",99,"T1est.99","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",100,"T1est.100","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",101,"T1est.101","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",102,"T1est.102","S",3,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI","HUD50=0 AND HUD80=1",,
"S10701",103,"T1est.103","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",104,"T1est.104","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",105,"T1est.105","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",106,"T1est.106","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",107,"T1est.107","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",108,"T1est.108","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",109,"T1est.109","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",110,"T1est.110","S",3,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI","HUD80=0 AND HUD95=1",,
"S10701",111,"T1est.111","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",112,"T1est.112","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",113,"T1est.113","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",114,"T1est.114","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",115,"T1est.115","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",116,"T1est.116","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",117,"T1est.117","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",118,"T1est.118","S",3,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 95% of HAMFI","HUD95=0",,
"S10701",119,"T1est.119","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",120,"T1est.120","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",121,"T1est.121","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",122,"T1est.122","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",123,"T1est.123","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",124,"T1est.124","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",125,"T1est.125","D",4,"Owner occupied; AND cost burden not computed, household has none of the other housing problems; AND household income is greater than 95% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",126,"T1est.126","S",1,"Renter occupied","TEN=3:4",,
"S10701",127,"T1est.127","S",2,"Renter occupied; AND has 1 or more of the 4 housing unit problems","KIT=2 OR PLM=2 OR PPR>1 OR GRPI>30",,
"S10701",128,"T1est.128","S",3,"Renter occupied; AND has 1 or more of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI","HUD30=1",,
"S10701",129,"T1est.129","D",4,"Renter occupied; AND has 1 or more of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
